,symptom,review
0, pulsating feeling in your stomach (abdomen)  usually near your belly button  that's usually only noticeable when you touch it persistent back pain persistent abdominal pain,Abdominal aortic aneurysm
1, mall  deep holes in the surface of your skin that look like the skin has been punctured with a sharp object boxcar scars – round or oval depressions  or craters  in the skin ,Acne
2,Rapid weight loss Recurring fever or profuse night sweats Extreme and unexplained tiredness Prolonged swelling of the lymph glands in the armpits  groin  or neck Diarrhea that lasts for more than a week Sores of the mouth  anus  or genitals Pneumonia Red  brown  pink  or purplish blotches on or under the skin or inside the mouth  nose  or eyelids Memory loss  depression  and other neurologic disorders ,Acquired immunodeficiency syndrome (AIDS)
3, abdominal pain  high temperature (fever) nausea and vomiting sweating loss of appetite yellowing of the skin and the whites of the eyes (jaundice) ,Acute cholecystitis
4,pale skin feeling tired and breathless having repeated infections over a short space of time unusual and frequent bleeding  such as bleeding gums or nose bleeds high temperature (fever) of 38C (100 4F) or above night sweats bone and joint pain easily bruised skin swollen lymph nodes (glands) abdominal pain – caused by a swollen liver or spleen unexplained weight loss  a purple skin rash (purpura,Acute lymphoblastic leukaemia
5,looking paler than usual and feeling tired – because of too few red blood cells (anaemia) bruises – you may bruise more easily and it could take longer for bleeding to stop  if you have less blood clotting cells (platelets) than normal infections – because there are too few mature white blood cells to fight infection aches and pains in your bones swollen glands (lymph nodes) in your neck  under your arm or in your groin feeling unwell and run down fever and sweats – you may have a high temperature without any obvious cause  such as an infection headaches and visual disturbance,Acute lymphoblastic leukaemia:  Teenagers and young adults
6,pale skin tiredness breathlessness a high temperature (fever) excessive sweating weight loss frequent infections unusual and frequent bleeding  such as bleeding gums or nosebleeds easily bruised skin flat red or purple spots on the skin (petechiae) bone and joint pain pale skin tiredness breathlessness a high temperature (fever) excessive sweating weight loss frequent infections unusual and frequent bleeding  such as bleeding gums or nosebleeds easily bruised skin flat red or purple spots on the skin (petechiae) bone and joint pain a feeling of fullness or discomfort in your tummy (abdomen)  caused by swelling of the liver or spleen,Acute myeloid leukaemia
7,feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands ,Acute myeloid leukaemia: Children
8,nausea (feeling sick) or vomiting diarrhoea indigestion a high temperature (fever) of 38C (100 4F) or above jaundice – yellowing of the skin and the whites of the eyes tenderness or swelling of the abdomen (tummy),Acute pancreatitis
9,fatigue (lack of energy or motivation) lethargy (abnormal drowsiness or tiredness) muscle weakness low mood (mild depression) or irritability loss of appetite and unintentional weight loss the need to urinate frequently increased thirst craving for salty foods,Addison's disease
