disease,symptom
Abdominal aortic aneurysm, pulsating feeling in your stomach (abdomen)  usually near your belly button  that's usually only noticeable when you touch it persistent back pain persistent abdominal pain
Acne, mall  deep holes in the surface of your skin that look like the skin has been punctured with a sharp object boxcar scars – round or oval depressions  or craters  in the skin 
Acquired immunodeficiency syndrome (AIDS),Rapid weight loss Recurring fever or profuse night sweats Extreme and unexplained tiredness Prolonged swelling of the lymph glands in the armpits  groin  or neck Diarrhea that lasts for more than a week Sores of the mouth  anus  or genitals Pneumonia Red  brown  pink  or purplish blotches on or under the skin or inside the mouth  nose  or eyelids Memory loss  depression  and other neurologic disorders 
Acute cholecystitis, abdominal pain  high temperature (fever) nausea and vomiting sweating loss of appetite yellowing of the skin and the whites of the eyes (jaundice) 
Acute lymphoblastic leukaemia,pale skin feeling tired and breathless having repeated infections over a short space of time unusual and frequent bleeding  such as bleeding gums or nose bleeds high temperature (fever) of 38C (100.4F) or above night sweats bone and joint pain easily bruised skin swollen lymph nodes (glands) abdominal pain – caused by a swollen liver or spleen unexplained weight loss  a purple skin rash (purpura
Acute lymphoblastic leukaemia:  Teenagers and young adults,looking paler than usual and feeling tired – because of too few red blood cells (anaemia) bruises – you may bruise more easily and it could take longer for bleeding to stop  if you have less blood clotting cells (platelets) than normal infections – because there are too few mature white blood cells to fight infection aches and pains in your bones swollen glands (lymph nodes) in your neck  under your arm or in your groin feeling unwell and run down fever and sweats – you may have a high temperature without any obvious cause  such as an infection headaches and visual disturbance
Acute myeloid leukaemia,pale skin tiredness breathlessness a high temperature (fever) excessive sweating weight loss frequent infections unusual and frequent bleeding  such as bleeding gums or nosebleeds easily bruised skin flat red or purple spots on the skin (petechiae) bone and joint pain pale skin tiredness breathlessness a high temperature (fever) excessive sweating weight loss frequent infections unusual and frequent bleeding  such as bleeding gums or nosebleeds easily bruised skin flat red or purple spots on the skin (petechiae) bone and joint pain a feeling of fullness or discomfort in your tummy (abdomen)  caused by swelling of the liver or spleen
Acute myeloid leukaemia: Children,feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands.
Acute pancreatitis,nausea (feeling sick) or vomiting diarrhoea indigestion a high temperature (fever) of 38C (100.4F) or above jaundice – yellowing of the skin and the whites of the eyes tenderness or swelling of the abdomen (tummy)
Addison's disease,fatigue (lack of energy or motivation) lethargy (abnormal drowsiness or tiredness) muscle weakness low mood (mild depression) or irritability loss of appetite and unintentional weight loss the need to urinate frequently increased thirst craving for salty foods
Alcohol-related liver disease,abdominal pain loss of appetite fatigue feeling sick diarrhoea feeling generally unwellyellowing of the skin and whites of the eyes (jaundice) swelling in the legs  ankles and feet  due to a build-up of fluid (oedema) swelling in your abdomen  due to a build-up of fluid known as ascites a high temperature (fever) and shivering attacks very itchy skin hair loss unusually curved fingertips and nails (clubbed fingers) blotchy red palms significant weight loss weakness and muscle wasting confusion and memory problems  trouble sleeping (insomnia) and changes in your personality due to a build-up of toxins in the brain vomiting blood and black  tarry stools due to internal bleeding a tendency to bleed and bruise more easily  such as frequent nosebleeds and bleeding gums increased sensitivity to alcohol and drugs (because the liver can't process them)
Alkhurma haemorrhagic fever,non-specific flu-like symptoms  including fever  anorexia (loss of appetite)  general malaise  diarrhea  and vomiting
Allergic rhinitis,sleep problems and interfering with everyday life neezing  itchiness and a blocked or runny nose
Allergies,sneezing and an itchy  runny or blocked nose (allergic rhinitis) itchy  red  watering eyes (conjunctivitis) wheezing  chest tightness  shortness of breath and a cough a raised  itchy  red rash (hives) swollen lips  tongue  eyes or face tummy pain  feeling sick  vomiting or diarrhoea dry  red and cracked skin
Alzheimer's disease,forget about recent conversations or events  or misplace items forget the names of places and objects  or have trouble thinking of the right word repeat themselves regularly  such as asking the same question several times show poor judgement or find it harder to make decisions become less flexible and more hesitant to try new thingsdifficulty performing spatial tasks  such as judging distances hallucinations difficulty changing position or moving around without assistance considerable weight loss – although some people eat too much and put on weight gradual loss of speech significant problems with short- and long-term memory 
Anal cancer,bleeding from the bottom (rectal bleeding) itching and pain around the anus small lumps around the anus a discharge of mucus from the anus loss of bowel control 
Anaphylaxis,itchy skin or a raised  red skin rash swollen eyes  lips  hands and feet feeling lightheaded or faint swelling of the mouth  throat or tongue  which can cause breathing and swallowing difficulties wheezing abdominal pain  nausea and vomiting collapse and unconsciousness
Anaplasmosis,Fever. Severe headache. Muscle aches. Chills and shaking. Less frequent symptoms of anaplasmosis include nausea  vomiting  loss of appetite  weight loss  abdominal pain  cough  diarrhea  aching joints and change in mental status.
Angioedema,Swollen skina hot or painful sensation in the swollen areas swelling of the inside of the throat  the windpipe and the tongue  making breathing difficult swelling of the conjunctiva (the transparent layer of cells that cover the white part of the eye)  which affects vision People with hereditary angioedema may also experience:  abdominal (stomach) pain caused by swelling in the stomach and bowel  which can cause nausea  vomiting and diarrhoea swelling of the bladder or urethra (the tube that connects the bladder to the genitals)  which can cause bladder problems and difficulty passing urine 
Ankylosing spondylitis,Back pain and stiffness Arthritis Enthesitis Fatigue 
Anorexia nervosa,fear of ‘being fat’ or gaining weight problems with self-esteem and body image when it comes to food and weight restricting food intake and keeping your body weight low  to the point it’s unhealthy
Anthrax,Fever and chills. Chest Discomfort. Shortness of breath. Confusion or dizziness. Cough. Nausea  vomiting  or stomach pains. Headache. Sweats (often drenching)
Anxiety,"restlessness a sense of dread feeling constantly ""on edge"" difficulty concentrating irritability"
Anxiety disorders in children,finding it hard to concentrate not sleeping  or waking in the night with bad dreams not eating properly quickly getting angry or irritable  and being out of control during outbursts constantly worrying or having negative thoughts feeling tense and fidgety  or using the toilet often always crying being clingy all the time (when other children are ok) complaining of tummy aches and feeling unwell 
Appendicitis,feeling sick (nausea) being sick loss of appetite diarrhoea a high temperature (fever) and a flushed face
Arenavirus,Viral hemorrhagic fever  Lassa fever usually presents as a non specific illness: with fever  headache  dizziness  asthenia  sore throat  pharyngitis  cough  retrosternal and abdominal pain  and vomiting
Arthritis,pain in joints joint pain  tenderness and stiffness inflammation in and around the joints restricted movement of the joints warm  red skin over the affected joint weakness and muscle wasting 
Asbestosis,shortness of breath – this may only occur after physical activity at first  but it can eventually become a more constant problem a persistent cough wheezing fatigue (extreme tiredness) chest pain in more advanced cases  clubbed (swollen) fingertips
Asthma,wheezing (a whistling sound when you breathe) shortness of breath a tight chest – which may feel like a band is tightening around it  coughing
Atopic eczema,causes areas of skin to become itchy  dry  cracked  sore and red
Attention deficit hyperactivity disorder (ADHD),inattentiveness hyperactivity and impulsiveness Inattentiveness Hyperactivity and impulsiveness carelessness and lack of attention to detail continually starting new tasks before finishing old ones poor organisational skills inability to focus or prioritise continually losing or misplacing things forgetfulness restlessness and edginess difficulty keeping quiet and speaking out of turn blurting out responses and often interrupting others mood swings  irritability and a quick temper inability to deal with stress extreme impatience taking risks in activities  often with little or no regard for personal safety or the safety of others – for example  driving dangerously
Autistic spectrum disorder (ASD),the way you use language and talk might be different to most people you may use facial expressions  tone of voice  and gestures (hand and body movements) differently to most people making and maintaining friendships might be difficult for you you may be good at seeing patterns or solutions  and be good at seeing solutions to problems that other people might not you might have set ways of doing things  and find it difficult to do them differently autistic people are often very good at understanding and working with structured systems  for example languages  music  and computers you may have good attention to detail  and be good at spotting mistakes you might be passionately interested in certain things  and as a result learn a large amount about them in a short time – these interests can change throughout your life you might avoid or seek out certain sensations  like loud noises or specific textures  more than most people  and experience them more strongly there might be some foods you particularly enjoy and eat a lot of  and others that you can’t be around due to their texture or smell when working on projects  you might find it difficult to think about the project as a whole – you may do a great job on your part of a group project  but struggle to imagine how it fits in with everyone else’s part while autistic people can be good at paying attention to detail  you might find it difficult to leave out details that are accurate but not needed when talking to people or working on projects autistic people can be very determined and driven  and keep going with tasks or problems when other people may give up you might find you’re always determined to make sure things are ‘perfect’  and sometimes forget to eat or sleep if you’re working on something it can be difficult for autistic people to work in groups where there isn’t clear communication about what they’re expected to do
Avian influenza in humans,diarrhoea sickness stomach pain chest pain bleeding from the nose and gums Conjunctivitis
